frame,RX,RY,RZ,time
1275,-2.68929,0.957952,5.6357,0
1276,-2.70084,0.961541,5.6925,0.005
1277,-2.92655,0.871303,5.71553,0.01
1278,-3.34048,0.92386,6.26649,0.015
1279,-3.86291,0.871376,5.65559,0.02
1280,-4.37203,0.977693,5.61353,0.025
1281,-4.86511,1.01304,5.63639,0.03
1282,-5.35373,1.05975,5.63103,0.035
1283,-5.85724,1.00296,5.60537,0.04
1284,-6.34446,1.02337,5.63345,0.045
1285,-6.84277,1.03327,5.63201,0.05
1286,-7.3953,0.99365,6.1215,0.055
1287,-7.85229,1.02234,5.57625,0.06
1288,-8.36409,1.02926,5.60084,0.065
1289,-8.88732,1.0583,6.06578,0.07
1290,-9.38466,1.15102,5.59269,0.075
1291,-9.87746,1.16183,5.58205,0.08
1292,-10.3953,1.12072,5.55226,0.085
1293,-10.8753,1.23041,6.0107,0.09
1294,-11.3546,1.23399,5.53514,0.095
1295,-11.8474,1.15124,5.56896,0.1
1296,-12.3806,1.09552,5.5428,0.105
1297,-12.8012,1.2383,5.51127,0.11
1298,-13.3175,1.22062,6.0385,0.115
1299,-13.7806,1.26681,5.53956,0.12
1300,-14.2848,1.2172,5.52055,0.125
1301,-14.7676,1.28771,5.49599,0.13
1302,-15.3158,1.25386,5.98798,0.135
1303,-15.7728,1.29861,6.02092,0.14
1304,-16.2582,1.38143,5.94268,0.145
1305,-16.7392,1.35228,5.48592,0.15
1306,-17.2822,1.24381,5.49676,0.155
1307,-17.7268,1.37022,5.48593,0.16
1308,-18.2147,1.30589,5.48439,0.165
1309,-18.7002,1.46024,5.96507,0.17
1310,-19.1848,1.40372,5.98483,0.175
1311,-19.6569,1.43891,5.47947,0.18
1312,-20.1384,1.37564,5.48052,0.185
1313,-20.614,1.36998,5.43182,0.19
1314,-21.0793,1.5005,5.93057,0.195
1315,-21.5638,1.45143,5.9555,0.2
1316,-22.0314,1.46902,5.44249,0.205
1317,-22.5194,1.42275,5.45847,0.21
1318,-22.9886,1.48828,5.42681,0.215
1319,-23.4777,1.52749,5.94359,0.22
1320,-23.9318,1.53718,5.45527,0.225
1321,-24.4156,1.47474,5.4473,0.23
1322,-24.8861,1.57826,5.94449,0.235
1323,-25.3462,1.4965,5.41085,0.24
1324,-25.8009,1.51822,5.45004,0.245
1325,-26.2491,1.52847,5.43949,0.25
1326,-26.7029,1.53998,5.44722,0.255
1327,-27.1995,1.50548,5.45337,0.26
1328,-27.6025,1.6376,5.4508,0.265
1329,-28.0461,1.59284,5.43409,0.27
1330,-28.4846,1.67483,5.45921,0.275
1331,-28.9354,1.63261,5.49222,0.28
1332,-29.3845,1.73912,5.94764,0.285
1333,-29.815,1.65613,5.50393,0.29
1334,-30.2712,1.77805,5.96187,0.295
1335,-30.6885,1.68886,5.47718,0.3
1336,-31.1558,1.66689,5.48855,0.305
1337,-31.5356,1.73725,5.50372,0.31
1338,-31.955,1.86418,5.98011,0.315
1339,-32.3619,1.76849,5.52612,0.32
1340,-32.7816,1.77985,5.50538,0.325
1341,-33.1824,1.79112,5.49713,0.33
1342,-33.5918,1.80819,5.49245,0.335
1343,-33.9888,1.8196,5.48883,0.34
1344,-34.375,1.90736,5.48106,0.345
1345,-34.788,1.8523,5.50709,0.35
1346,-35.1956,1.86989,5.49554,0.355
1347,-35.5759,2.09249,5.9677,0.36
1348,-35.9702,1.90595,5.48924,0.365
1349,-36.3291,1.99142,5.47914,0.37
1350,-36.7026,2.14036,5.97061,0.375
1351,-37.0752,2.01463,5.47477,0.38
1352,-37.4515,2.02314,5.46917,0.385
1353,-37.8099,2.04663,5.46737,0.39
1354,-38.1736,2.06601,5.44422,0.395
1355,-38.5312,2.0712,5.45574,0.4
1356,-38.9601,1.97298,5.49712,0.405
1357,-39.264,2.07347,5.41232,0.41
1358,-39.6512,2.15447,5.86087,0.415
1359,-39.9716,2.09812,5.43514,0.42
1360,-40.3819,2.03988,5.44857,0.425
1361,-40.7123,2.11048,5.44489,0.43
1362,-41.0582,2.06369,5.432,0.435
1363,-41.3482,2.08402,5.41883,0.44
1364,-41.7142,2.09484,5.437,0.445
1365,-42.0385,2.11052,5.42664,0.45
1366,-42.3649,2.2789,5.87815,0.455
1367,-42.6749,2.13731,5.4139,0.46
1368,-42.9975,2.30507,5.86452,0.465
1369,-43.3015,2.16648,5.42956,0.47
1370,-43.605,2.17447,5.41878,0.475
1371,-43.9014,2.18729,5.41559,0.48
1372,-44.2119,2.20024,5.40972,0.485
1373,-44.534,2.17534,5.41485,0.49
1374,-44.8174,2.1778,5.39126,0.495
1375,-45.1068,2.18757,5.38353,0.5
1376,-45.3921,2.20013,5.39919,0.505
1377,-45.6849,2.37533,5.83469,0.51
1378,-45.9445,2.237,5.39977,0.515
1379,-46.2059,2.25243,5.39454,0.52
1380,-46.4831,2.43059,5.8299,0.525
1381,-46.7341,2.27264,5.39833,0.53
1382,-46.9955,2.4462,5.82174,0.535
1383,-47.243,2.29593,5.39283,0.54
1384,-47.482,2.32847,5.36658,0.545
1385,-47.736,2.5003,5.76317,0.55
1386,-47.9637,2.34008,5.34609,0.555
1387,-48.2016,2.51553,5.76263,0.56
1388,-48.4179,2.36318,5.35895,0.565
1389,-48.6372,2.37295,5.35106,0.57
1390,-48.8711,2.54058,5.72816,0.575
1391,-49.0874,2.57027,5.76242,0.58
1392,-49.3056,2.40301,5.33311,0.585
1393,-49.5718,2.45944,5.46679,0.59
1394,-49.7805,2.19367,4.80341,0.595
1395,-49.9826,2.20397,4.81218,0.6
1396,-50.178,2.21275,4.79981,0.605
1397,-50.3831,2.50061,5.46444,0.61
1398,-50.5705,2.23775,4.80585,0.615
1399,-50.7558,2.23915,4.80125,0.62
1400,-50.9465,2.53112,5.48623,0.625
1401,-51.1297,2.52281,5.45099,0.63
1402,-51.3031,2.25989,4.80277,0.635
1403,-51.4797,2.54896,5.45754,0.64
1404,-51.6651,2.5512,5.4511,0.645
1405,-51.8446,2.55764,5.43914,0.65
1406,-51.9968,2.26307,4.75674,0.655
1407,-52.1648,2.26939,4.76003,0.66
1408,-52.3154,2.28753,4.77489,0.665
1409,-52.4626,2.29343,4.77141,0.67
1410,-52.6103,2.56741,5.38569,0.675
1411,-52.7322,2.30393,4.77884,0.68
1412,-52.8684,2.3039,4.77402,0.685
1413,-53.0044,2.31968,4.78438,0.69
1414,-53.1321,2.60897,5.41659,0.695
1415,-53.2591,2.61984,5.41367,0.7
1416,-53.3702,2.61621,5.40758,0.705
1417,-53.4813,2.33009,4.75868,0.71
1418,-53.5883,2.32844,4.75371,0.715
1419,-53.6967,2.33102,4.74785,0.72
1420,-53.8062,2.33879,4.74043,0.725
1421,-53.9142,2.64108,5.39002,0.73
1422,-54.0097,2.65377,5.41011,0.735
1423,-54.0982,2.64524,5.3961,0.74
1424,-54.1715,2.35362,4.75789,0.745
1425,-54.258,2.34932,4.75012,0.75
1426,-54.3283,2.34655,4.72456,0.755
1427,-54.3925,2.35855,4.73034,0.76
1428,-54.4504,2.36967,4.74459,0.765
1429,-54.5141,2.64468,5.3536,0.77
1430,-54.5637,2.64118,5.3512,0.775
1431,-54.6132,2.64824,5.35918,0.78
1432,-54.665,2.67189,5.39682,0.785
1433,-54.7029,2.68542,5.40819,0.79
1434,-54.7278,2.67756,5.39471,0.795
1435,-54.7518,2.66995,5.38077,0.8
1436,-54.7742,2.67967,5.41155,0.805
1437,-54.7914,2.69234,5.43089,0.81
1438,-54.8027,2.69588,5.43393,0.815
1439,-54.811,2.73582,5.50906,0.82
1440,-54.8137,2.68218,5.38967,0.825
1441,-54.8157,2.6728,5.38093,0.83
1442,-54.8113,2.65953,5.36412,0.835
1443,-54.8098,2.67344,5.39375,0.84
1444,-54.8081,2.68108,5.39733,0.845
1445,-54.8038,2.69588,5.41976,0.85
1446,-54.797,2.7116,5.45086,0.855
1447,-54.7919,2.70191,5.44155,0.86
1448,-54.7922,2.70337,5.45076,0.865
1449,-54.7908,2.70751,5.46905,0.87
1450,-54.7877,2.74911,5.55823,0.875
1451,-54.7815,2.7345,5.51435,0.88
1452,-54.7821,2.78693,5.62578,0.885
1453,-54.7812,2.80766,5.67181,0.89
1454,-54.7743,2.74587,5.54524,0.895
1455,-54.77,2.81359,5.69499,0.9
1456,-54.7657,2.80908,5.68795,0.905
1457,-54.7622,2.83244,5.73283,0.91
1458,-54.7575,2.7681,5.58743,0.915
1459,-54.7496,2.75856,5.56718,0.92
1460,-54.7437,2.76923,5.59578,0.925
1461,-54.7383,2.7677,5.59572,0.93
1462,-54.7275,2.76986,5.59902,0.935
1463,-54.7178,2.76934,5.59675,0.94
1464,-54.7095,2.78602,5.63279,0.945
1465,-54.6971,2.77491,5.6117,0.95
1466,-54.6705,2.37728,4.75007,0.955
1467,-54.6549,2.37271,4.74798,0.96
1468,-54.6384,2.36853,4.7407,0.965
1469,-54.6257,2.65823,5.37228,0.97
1470,-54.5974,2.3649,4.7296,0.975
1471,-54.5856,2.64976,5.35715,0.98
1472,-54.5654,2.64751,5.35838,0.985
1473,-54.5469,2.63763,5.34204,0.99
1474,-54.524,2.63487,5.33601,0.995
1475,-54.4988,2.65166,5.3708,1
1476,-54.47,2.36674,4.7431,1.005
1477,-54.448,2.3674,4.74904,1.01
1478,-54.4289,2.6498,5.37166,1.015
1479,-54.3804,2.35149,4.72453,1.02
1480,-54.3436,2.34811,4.72972,1.025
1481,-54.3009,2.35812,4.74627,1.03
1482,-54.2429,2.35856,4.74207,1.035
1483,-54.1795,2.35825,4.7468,1.04
1484,-54.1169,2.35008,4.74237,1.045
1485,-54.0681,2.65079,5.41052,1.05
1486,-54.0019,2.64779,5.41392,1.055
1487,-53.9225,2.3435,4.74143,1.06
1488,-53.8617,2.62306,5.36807,1.065
1489,-53.7733,2.34723,4.75795,1.07
1490,-53.6916,2.33079,4.74322,1.075
1491,-53.6031,2.32452,4.7434,1.08
1492,-53.5168,2.3237,4.74847,1.085
1493,-53.427,2.32604,4.75003,1.09
1494,-53.3423,2.62611,5.42714,1.095
1495,-53.2362,2.33345,4.77271,1.1
1496,-53.132,2.59057,5.38414,1.105
1497,-53.017,2.31717,4.78498,1.11
1498,-52.8934,2.29442,4.7585,1.115
1499,-52.7635,2.30376,4.77702,1.12
1500,-52.6452,2.57923,5.40377,1.125
1501,-52.5082,2.58086,5.41604,1.13
1502,-52.3537,2.29961,4.7802,1.135
1503,-52.1919,2.27689,4.76202,1.14
1504,-52.0246,2.26049,4.7624,1.145
1505,-51.8738,2.54469,5.42967,1.15
1506,-51.7044,2.55186,5.45979,1.155
1507,-51.5277,2.26873,4.79423,1.16
1508,-51.3651,2.26569,4.79929,1.165
1509,-51.1931,2.26045,4.80361,1.17
1510,-51.0345,2.53164,5.46828,1.175
1511,-50.846,2.23742,4.80745,1.18
1512,-50.6711,2.22184,4.79541,1.185
