frame,RX,RY,RZ,time
843,-3.03906,0.912024,5.26106,0
844,-3.11108,0.914531,5.29736,0.005
845,-3.41411,0.911057,5.32946,0.01
846,-3.88863,0.914777,5.2995,0.015
847,-4.3959,0.933558,5.23754,0.02
848,-4.89292,0.964873,5.24389,0.025
849,-5.37977,0.987013,5.23973,0.03
850,-5.85719,1.00771,5.23306,0.035
851,-6.33903,1.02846,5.21077,0.04
852,-6.84173,1.02905,5.74813,0.045
853,-7.32493,1.04549,5.21993,0.05
854,-7.81326,1.03076,5.20314,0.055
855,-8.30874,1.06357,5.7098,0.06
856,-8.78606,1.07224,5.20773,0.065
857,-9.28161,1.14303,5.75242,0.07
858,-9.7628,1.12655,5.16822,0.075
859,-10.2527,1.14093,5.1874,0.08
860,-10.7327,1.17057,5.18622,0.085
861,-11.2125,1.19954,5.67838,0.09
862,-11.6882,1.20437,5.68867,0.095
863,-12.1549,1.19287,5.16042,0.1
864,-12.6439,1.21763,5.17345,0.105
865,-13.1213,1.24647,5.1539,0.11
866,-13.6018,1.26841,5.66556,0.115
867,-14.0797,1.28072,5.68442,0.12
868,-14.5405,1.28396,5.13979,0.125
869,-15.019,1.29017,5.14509,0.13
870,-15.4941,1.2641,5.13723,0.135
871,-15.9692,1.37168,5.64201,0.14
872,-16.4402,1.39356,5.60146,0.145
873,-16.9036,1.32528,5.13048,0.15
874,-17.3849,1.38787,5.58872,0.155
875,-17.8471,1.39468,5.12946,0.16
876,-18.3191,1.45866,5.59844,0.165
877,-18.7808,1.37265,5.11486,0.17
878,-19.2385,1.37711,5.07335,0.175
879,-19.7221,1.46959,5.5989,0.18
880,-20.1843,1.42129,5.12583,0.185
881,-20.644,1.54017,5.58072,0.19
882,-21.0909,1.44971,5.11092,0.195
883,-21.5412,1.50357,5.08016,0.2
884,-22.0057,1.55562,5.59483,0.205
885,-22.4651,1.49261,5.10496,0.21
886,-22.9126,1.50465,5.08417,0.215
887,-23.3581,1.5546,5.07022,0.22
888,-23.8164,1.60592,5.58242,0.225
889,-24.255,1.55261,5.10513,0.23
890,-24.702,1.57034,5.08242,0.235
891,-25.1434,1.63187,5.06308,0.24
892,-25.5844,1.65003,5.08967,0.245
893,-26.0144,1.6145,5.09009,0.25
894,-26.445,1.67001,5.10659,0.255
895,-26.8831,1.64048,5.1068,0.26
896,-27.3119,1.65336,5.0737,0.265
897,-27.7393,1.72773,5.11654,0.27
898,-28.1736,1.84086,5.58386,0.275
899,-28.5845,1.7141,5.11419,0.28
900,-29.0086,1.76857,5.12528,0.285
901,-29.4343,1.85223,5.61664,0.29
902,-29.8418,1.80302,5.13033,0.295
903,-30.2652,1.81638,5.09144,0.3
904,-30.6751,1.80227,5.12665,0.305
905,-31.073,1.81725,5.12716,0.31
906,-31.4642,1.86547,5.13007,0.315
907,-31.8617,1.84442,5.15194,0.32
908,-32.2548,1.89751,5.15061,0.325
909,-32.647,1.924,5.16712,0.33
910,-33.0303,1.90114,5.14285,0.335
911,-33.4117,1.95286,5.15418,0.34
912,-33.7914,1.925,5.13075,0.345
913,-34.1744,1.98716,5.16375,0.35
914,-34.5582,1.95813,5.12253,0.355
915,-34.9395,2.02097,5.14771,0.36
916,-35.3141,2.00488,5.13064,0.365
917,-35.6851,2.03277,5.13765,0.37
918,-36.0428,2.04685,5.14254,0.375
919,-36.3936,2.08547,5.14294,0.38
920,-36.7543,2.07313,5.13784,0.385
921,-37.1076,2.09118,5.12224,0.39
922,-37.4553,2.10548,5.11239,0.395
923,-37.801,2.25741,5.56395,0.4
924,-38.1388,2.13748,5.1158,0.405
925,-38.4663,2.24637,5.46587,0.41
926,-38.8085,2.15945,5.09661,0.415
927,-39.1516,2.17381,5.09092,0.42
928,-39.4897,2.19471,5.10085,0.425
929,-39.8227,2.20302,5.06938,0.43
930,-40.1512,2.21592,5.06687,0.435
931,-40.4767,2.36916,5.51596,0.44
932,-40.7889,2.23514,5.0499,0.445
933,-41.1022,2.26579,5.08342,0.45
934,-41.4068,2.27154,5.05408,0.455
935,-41.7132,2.28119,5.04195,0.46
936,-42.0199,2.29813,5.05863,0.465
937,-42.3143,2.30536,5.06016,0.47
938,-42.615,2.3123,5.04407,0.475
939,-42.9075,2.47945,5.50444,0.48
940,-43.1931,2.33632,5.06314,0.485
941,-43.488,2.49416,5.49237,0.49
942,-43.7587,2.34658,5.04791,0.495
943,-44.0429,2.4986,5.44435,0.5
944,-44.3268,2.49574,5.4748,0.505
945,-44.5917,2.35478,5.0441,0.51
946,-44.8611,2.53048,5.48406,0.515
947,-45.1216,2.37849,5.02284,0.52
948,-45.3206,2.34994,5.0146,0.525
949,-45.6499,2.56126,5.45348,0.53
950,-45.8861,2.40821,5.02648,0.535
951,-46.901,0.250218,5.99205,0.54
952,-48.647,-4.61795,6.81409,0.545
953,-46.6886,2.48847,5.01996,0.55
954,-49.1133,-4.83381,6.82805,0.555
955,-47.9381,-0.0326465,5.58896,0.56
