frame,RX,RY,RZ,time
6044,-1.79667,0.881753,4.97433,0
6045,-1.86227,0.882678,4.93349,0.005
6046,-1.97143,0.884,4.95257,0.01
6047,-2.1454,0.909807,4.81162,0.015
6048,-2.50248,0.901975,5.46182,0.02
6049,-2.9284,0.9323,4.32271,0.025
6050,-3.66055,0.929047,6.38952,0.03
6051,-4.12905,0.9684,5.716,0.035
6052,-4.71476,0.985679,6.42563,0.04
6053,-5.25429,1.01881,6.33432,0.045
6054,-5.78815,1.03639,6.18468,0.05
6055,-6.29852,1.04189,5.41282,0.055
6056,-6.80456,1.0471,5.26225,0.06
6057,-7.29487,1.04527,5.12602,0.065
6058,-7.80521,1.05837,5.59348,0.07
6059,-8.29911,1.05663,4.92739,0.075
6060,-8.81822,1.08394,5.41643,0.08
6061,-9.30874,1.08916,4.8177,0.085
6062,-9.82396,1.10296,4.72645,0.09
6063,-10.3247,1.13476,4.77694,0.095
6064,-10.8271,1.15785,5.21714,0.1
6065,-11.311,1.13423,4.63524,0.105
6066,-11.8126,1.13752,4.59054,0.11
6067,-12.3218,1.17629,5.05767,0.115
6068,-12.8035,1.09091,4.14198,0.12
6069,-13.3057,1.14173,4.6805,0.125
6070,-13.809,1.14743,4.60172,0.13
6071,-14.2944,1.13232,4.15752,0.135
6072,-14.8274,1.27392,5.1366,0.14
6073,-15.3365,1.41569,5.55757,0.145
6074,-15.815,1.29445,4.83644,0.15
6075,-16.3197,1.35599,5.33867,0.155
6076,-16.8106,1.3214,4.88136,0.16
6077,-17.3067,1.33858,4.92492,0.165
6078,-17.8083,1.41907,5.49973,0.17
6079,-18.2955,1.38134,5.02356,0.175
6080,-18.7829,1.40869,5.06804,0.18
6081,-19.242,1.40508,4.88821,0.185
6082,-19.7197,1.41979,4.8723,0.19
6083,-20.2099,1.4285,4.86012,0.195
6084,-20.6899,1.44697,4.8775,0.2
6085,-21.2217,1.52266,5.34903,0.205
6086,-21.6371,1.47246,4.87753,0.21
6087,-22.0414,1.38118,4.14946,0.215
6088,-22.5936,1.5155,4.89857,0.22
6089,-23.0754,1.5419,4.92702,0.225
6090,-23.534,1.57175,5.00182,0.23
6091,-24.0018,1.5919,5.04126,0.235
6092,-24.4325,1.51877,4.50018,0.24
6093,-24.9024,1.56803,4.6379,0.245
6094,-25.377,1.59904,4.72427,0.25
6095,-25.8362,1.61662,4.75128,0.255
6096,-26.3041,1.73965,5.33729,0.26
6097,-26.7485,1.66344,4.81557,0.265
6098,-27.2011,1.67819,4.82028,0.27
6099,-27.6568,1.69375,4.79619,0.275
6100,-28.1135,1.82916,5.35856,0.28
6101,-28.548,1.72916,4.81857,0.285
6102,-28.989,1.75296,4.86343,0.29
6103,-29.4261,1.7547,4.80923,0.295
6104,-29.8687,1.7649,4.80238,0.3
6105,-30.3052,1.78322,4.78436,0.305
6106,-30.7322,1.7955,4.74534,0.31
6107,-31.1765,1.88598,5.07052,0.315
6108,-31.5756,1.82455,4.74589,0.32
6109,-32.0239,1.97733,5.31491,0.325
6110,-32.4423,1.97212,5.2454,0.33
6111,-32.8134,1.82655,4.58623,0.335
6112,-33.2173,1.8289,4.54952,0.34
6113,-33.6711,2.03165,5.26509,0.345
6114,-34.0667,2.03745,5.21852,0.35
6115,-34.4114,1.83455,4.38135,0.355
6116,-34.8803,2.06866,5.20267,0.36
6117,-35.2795,2.0696,5.15719,0.365
6118,-35.6677,2.06924,5.10096,0.37
6119,-36.0409,2.06178,5.04851,0.375
6120,-36.458,2.15124,5.31606,0.38
6121,-36.7939,2.04186,4.93366,0.385
6122,-37.193,2.09091,5.06525,0.39
6123,-37.5598,2.07517,4.96011,0.395
6124,-37.9222,2.08023,4.91093,0.4
6125,-38.3071,2.59355,6.25921,0.405
6126,-38.6515,2.46492,5.76774,0.41
6127,-39.004,2.46124,5.7247,0.415
6128,-39.3669,2.46181,5.68517,0.42
6129,-39.7179,2.5307,5.80851,0.425
6130,-40.0612,2.51334,5.70658,0.43
6131,-40.3958,2.47965,5.56877,0.435
6132,-40.7199,2.45177,5.461,0.44
6133,-41.0445,2.43462,5.39386,0.445
6134,-41.3736,2.55146,5.74222,0.45
6135,-41.6898,2.39342,5.24073,0.455
6136,-41.9983,2.37733,5.16466,0.46
6137,-42.3064,2.3734,5.12213,0.465
6138,-42.6105,2.38583,5.09035,0.47
6139,-42.9015,2.39794,5.06024,0.475
6140,-43.1942,2.41228,5.04118,0.48
6141,-43.5397,2.40771,5.01024,0.485
6142,-43.8249,2.4118,4.96892,0.49
6143,-44.1075,2.45313,4.99701,0.495
6144,-44.4628,2.39601,5.03144,0.5
6145,-44.758,2.39678,5.00365,0.505
6146,-45.0476,2.41675,5.0185,0.51
6147,-45.3281,2.42655,5.01028,0.515
6148,-45.6112,2.43825,5.00154,0.52
6149,-45.8946,2.60906,5.41342,0.525
6150,-46.1501,2.45795,4.97598,0.53
6151,-46.4263,2.63551,5.41428,0.535
6152,-46.6814,2.48868,4.9857,0.54
6153,-46.9417,2.65763,5.39633,0.545
6154,-47.2022,2.67307,5.41086,0.55
6155,-47.4464,2.52051,4.96514,0.555
6156,-47.6971,2.70893,5.41299,0.56
6157,-47.934,2.70277,5.38427,0.565
6158,-48.1601,2.54163,4.95598,0.57
6159,-48.395,2.71005,5.35469,0.575
6160,-48.6033,2.5673,4.96208,0.58
6161,-48.7106,2.65866,4.92049,0.585
6162,-49.0501,2.58042,4.93511,0.59
6163,-49.2671,2.58269,4.9245,0.595
6164,-49.5147,2.40499,4.46019,0.6
6165,-49.724,2.40469,4.44693,0.605
6166,-49.9269,2.42143,4.45201,0.61
6167,-50.1378,2.71672,5.13156,0.615
6168,-50.3139,2.43251,4.4281,0.62
6169,-50.509,2.72323,5.10903,0.625
6170,-50.6816,2.43644,4.42786,0.63
6171,-50.952,2.38626,4.45932,0.635
6172,-51.1194,2.39728,4.46017,0.64
6173,-51.2903,2.40237,4.44356,0.645
6174,-51.4637,2.69997,5.11282,0.65
6175,-51.6194,2.4292,4.45895,0.655
6176,-51.702,2.48723,4.42928,0.66
6177,-51.869,2.7614,5.06487,0.665
6178,-52.0945,2.73939,5.1149,0.67
6179,-52.2173,2.45978,4.42951,0.675
6180,-52.3122,2.50433,4.40646,0.68
6181,-52.4412,2.49476,4.3848,0.685
6182,-52.5694,2.79215,5.04041,0.69
6183,-52.7389,2.46924,4.41128,0.695
6184,-52.8083,2.81629,5.07119,0.7
6185,-52.9808,2.79683,5.08263,0.705
6186,-53.0875,2.51662,4.41458,0.71
6187,-53.1912,2.51252,4.38732,0.715
6188,-53.2988,2.81341,5.04452,0.72
6189,-53.3889,2.82046,5.04652,0.725
6190,-53.4684,2.53865,4.39403,0.73
6191,-53.5689,2.83132,5.03971,0.735
6192,-53.6649,2.83456,5.02751,0.74
6193,-53.7401,2.55614,4.38702,0.745
6194,-53.8238,2.56889,4.39075,0.75
6195,-53.912,2.87874,5.06239,0.755
6196,-53.9777,2.57296,4.38395,0.76
6197,-54.0481,2.86777,5.03067,0.765
6198,-54.1072,2.87431,5.02315,0.77
6199,-54.157,2.57746,4.36334,0.775
6200,-54.2159,2.59067,4.37761,0.78
6201,-54.271,2.88071,5.00873,0.785
6202,-54.3111,2.88973,5.0154,0.79
6203,-54.341,2.89715,5.02576,0.795
6204,-54.3683,2.90144,5.0408,0.8
6205,-54.3889,2.90125,5.0435,0.805
6206,-54.4067,2.90504,5.04553,0.81
6207,-54.4209,2.90963,5.05235,0.815
6208,-54.4352,2.90998,5.05487,0.82
6209,-54.4471,2.90864,5.06038,0.825
6210,-54.4477,2.91818,5.07241,0.83
6211,-54.4508,2.9315,5.10095,0.835
6212,-54.4422,2.59833,4.37687,0.84
6213,-54.4513,2.89329,5.0268,0.845
6214,-54.4414,2.90057,5.03801,0.85
6215,-54.4381,2.90066,5.03338,0.855
6216,-54.4406,2.90275,5.04426,0.86
6217,-54.4319,2.60181,4.38639,0.865
6218,-54.4313,2.90474,5.04227,0.87
6219,-54.4315,2.90359,5.03849,0.875
6220,-54.4288,2.90091,5.03735,0.88
6221,-54.427,2.90466,5.04972,0.885
6222,-54.4198,2.91324,5.06531,0.89
6223,-54.4175,2.92052,5.08005,0.895
6224,-54.4153,2.92957,5.10268,0.9
6225,-54.4087,2.93852,5.1225,0.905
6226,-54.4044,2.94796,5.14612,0.91
6227,-54.3967,2.96251,5.17319,0.915
6228,-54.3924,2.97402,5.19646,0.92
6229,-54.3887,2.97951,5.21361,0.925
6230,-54.3791,2.99908,5.25342,0.93
6231,-54.3681,3.00213,5.2598,0.935
6232,-54.3605,2.99754,5.25503,0.94
6233,-54.3498,2.89502,5.03225,0.945
6234,-54.3343,2.89117,5.02039,0.95
6235,-54.3181,2.89306,5.02104,0.955
6236,-54.3043,2.8904,5.01651,0.96
6237,-54.2859,2.90439,5.05474,0.965
6238,-54.2644,2.92004,5.09279,0.97
