time_s,mocap_angle_deg,imu_angle_deg,error_deg,drift_fit_deg,detrended_deg
5.9,0.0,0.0,0.0,-5.214040187234222,5.214040187234222
5.905,-0.4028633998516753,-0.45581088667729475,-0.05294748682561945,-5.214035870761461,5.161088383935842
5.91,-0.8026928501081017,-0.9116217733545895,-0.10892892324648784,-5.2140315542887,5.105102631042212
5.915,-1.1991498191611498,-1.3651529531833049,-0.16600313402215505,-5.214027237815938,5.048024103793783
5.92,-1.5835537698564153,-1.8186841330120203,-0.23513036315560498,-5.214022921343177,4.978892558187572
5.925,-1.9704749849703873,-2.2639530683869573,-0.29347808341657,-5.214018604870415,4.920540521453845
5.93,-2.3777290761836767,-2.7092220037618944,-0.3314929275782177,-5.214014288397655,4.882521360819437
5.935,-2.766054477692016,-3.1491550726998625,-0.3831005950078463,-5.214009971924893,4.830909376917047
5.94,-3.155666836077188,-3.589088141637909,-0.4334213055607208,-5.214005655452132,4.780584349891411
5.945,-3.5311756821925187,-4.021010353298843,-0.4898346711063244,-5.2140013389793705,4.724166667873046
5.95,-3.9030360109350326,-4.4529325649597755,-0.5498965540247429,-5.213997022506609,4.664100468481866
5.955,-4.263378241406379,-4.881578699982716,-0.6182004585763377,-5.2139927060338485,4.595792247457511
5.96,-4.635494219951269,-5.310224835005657,-0.6747306150543881,-5.213988389561087,4.539257774506699
5.965,-4.986560546248441,-5.734954706323342,-0.7483941600749011,-5.213984073088326,4.4655899130134245
5.97,-5.355743453155895,-6.159684577641026,-0.8039411244851307,-5.213979756615564,4.4100386321304335
5.975,-5.716220638098321,-6.5873948330481,-0.8711741949497789,-5.213975440142804,4.342801245193025
5.98,-6.068303908173135,-7.01510508845525,-0.9468011802821152,-5.213971123670042,4.267169943387927
5.985,-6.410132813706518,-7.4223251539482895,-1.0121923402417714,-5.213966807197281,4.201774466955509
5.99,-6.760252419980745,-7.829545219441329,-1.0692927994605839,-5.213962490724519,4.144669691263935
5.995,-7.107421052755178,-8.226315816063451,-1.1188947633082726,-5.213958174251758,4.095063410943485
6.0,-7.452841229300674,-8.623086412685574,-1.1702451833848997,-5.213953857778997,4.0437086743940975
6.005,-7.79113387756523,-9.019195863535447,-1.2280619859702178,-5.213949541306236,3.985887555336018
6.01,-8.13212148563398,-9.415305314385321,-1.2831838287513406,-5.213945224833474,3.9307613960821337
6.015,-8.46009431322019,-9.805383910997266,-1.345289597777077,-5.213940908360713,3.868651310583636
6.02,-8.780750383171458,-10.19546250760921,-1.4147121244377523,-5.213936591887952,3.7992244674502
6.025,-9.108531731855628,-10.581536894733086,-1.4730051628774579,-5.213932275415191,3.740927112537733
6.03,-9.42123060827111,-10.967611281856891,-1.546380673585782,-5.213927958942429,3.6675472853566475
6.035,-9.735409875293222,-11.350485797671432,-1.6150759223782103,-5.213923642469668,3.5988477200914577
6.04,-10.03893631286708,-11.73336031348597,-1.6944240006188913,-5.2139193259969066,3.5194953253780152
6.045,-10.345969325536693,-12.108686319837382,-1.762716994300689,-5.213915009524146,3.451198015223457
